year,ignore,temperature,percentile
1850.04,0.01,-0.029,50
1851.04,,-0.028,50
1852.04,,-0.027,50
1853.04,,-0.025,50
1854.04,,-0.024,50
1855.04,,-0.024,50
1856.04,,-0.024,50
1857.04,,-0.024,50
1858.04,,-0.023,50
1859.04,,-0.023,50
1860.04,,-0.023,50
1861.04,,-0.024,50
1862.04,,-0.024,50
1863.04,,-0.025,50
1864.04,,-0.025,50
1865.04,,-0.024,50
1866.04,,-0.024,50
1867.04,,-0.023,50
1868.04,,-0.022,50
1869.04,,-0.02,50
1869.13,,-0.02,50
1869.21,,-0.02,50
1869.29,,-0.02,50
1869.38,,-0.02,50
1869.46,,-0.02,50
1869.54,,-0.02,50
1869.63,,-0.019,50
1869.71,,-0.019,50
1869.79,,-0.019,50
1869.88,,-0.019,50
1869.96,,-0.019,50
1870.04,,-0.019,50
1870.13,,-0.018,50
1870.21,,-0.018,50
1870.29,,-0.018,50
1870.38,,-0.018,50
1870.46,,-0.018,50
1870.54,,-0.017,50
1870.63,,-0.017,50
1870.71,,-0.017,50
1870.79,,-0.017,50
1870.88,,-0.017,50
1870.96,,-0.017,50
1871.04,,-0.017,50
1871.13,,-0.017,50
1871.21,,-0.016,50
1871.29,,-0.016,50
1871.38,,-0.016,50
1871.46,,-0.016,50
1871.54,,-0.016,50
1871.63,,-0.016,50
1871.71,,-0.016,50
1871.79,,-0.016,50
1871.88,,-0.015,50
1871.96,,-0.015,50
1872.04,,-0.015,50
1872.13,,-0.015,50
1872.21,,-0.015,50
1872.29,,-0.015,50
1872.38,,-0.015,50
1872.46,,-0.015,50
1872.54,,-0.014,50
1872.63,,-0.014,50
1872.71,,-0.014,50
1872.79,,-0.014,50
1872.88,,-0.014,50
1872.96,,-0.013,50
1873.04,,-0.013,50
1873.13,,-0.013,50
1873.21,,-0.013,50
1873.29,,-0.012,50
1873.38,,-0.012,50
1873.46,,-0.012,50
1873.54,,-0.012,50
1873.63,,-0.012,50
1873.71,,-0.011,50
1873.79,,-0.011,50
1873.88,,-0.011,50
1873.96,,-0.011,50
1874.04,,-0.011,50
1874.13,,-0.01,50
1874.21,,-0.01,50
1874.29,,-0.01,50
1874.38,,-0.01,50
1874.46,,-0.01,50
1874.54,,-0.009,50
1874.63,,-0.009,50
1874.71,,-0.009,50
1874.79,,-0.009,50
1874.88,,-0.009,50
1874.96,,-0.008,50
1875.04,,-0.008,50
1875.13,,-0.008,50
1875.21,,-0.008,50
1875.29,,-0.008,50
1875.38,,-0.007,50
1875.46,,-0.007,50
1875.54,,-0.007,50
1875.63,,-0.007,50
1875.71,,-0.006,50
1875.79,,-0.006,50
1875.88,,-0.006,50
1875.96,,-0.006,50
1876.04,,-0.005,50
1876.13,,-0.005,50
1876.21,,-0.005,50
1876.29,,-0.005,50
1876.38,,-0.005,50
1876.46,,-0.004,50
1876.54,,-0.004,50
1876.63,,-0.004,50
1876.71,,-0.004,50
1876.79,,-0.004,50
1876.88,,-0.004,50
1876.96,,-0.003,50
1877.04,,-0.003,50
1877.13,,-0.003,50
1877.21,,-0.003,50
1877.29,,-0.003,50
1877.38,,-0.003,50
1877.46,,-0.003,50
1877.54,,-0.003,50
1877.63,,-0.002,50
1877.71,,-0.002,50
1877.79,,-0.002,50
1877.88,,-0.002,50
1877.96,,-0.002,50
1878.04,,-0.002,50
1878.13,,-0.001,50
1878.21,,-0.001,50
1878.29,,-0.001,50
1878.38,,-0.001,50
1878.46,,-0.001,50
1878.54,,-0.001,50
1878.63,,0,50
1878.71,,0,50
1878.79,,0,50
1878.88,,0,50
1878.96,,0,50
1879.04,,0,50
1879.13,,0,50
1879.21,,0.001,50
1879.29,,0.001,50
1879.38,,0.001,50
1879.46,,0.001,50
1879.54,,0.001,50
1879.63,,0.001,50
1879.71,,0.001,50
1879.79,,0.001,50
1879.88,,0.002,50
1879.96,,0.002,50
1880.04,,0.002,50
1880.13,,0.002,50
1880.21,,0.002,50
1880.29,,0.002,50
1880.38,,0.002,50
1880.46,,0.002,50
1880.54,,0.002,50
1880.63,,0.003,50
1880.71,,0.003,50
1880.79,,0.003,50
1880.88,,0.003,50
1880.96,,0.003,50
1881.04,,0.003,50
1881.13,,0.003,50
1881.21,,0.003,50
1881.29,,0.003,50
1881.38,,0.003,50
1881.46,,0.003,50
1881.54,,0.004,50
1881.63,,0.004,50
1881.71,,0.004,50
1881.79,,0.004,50
1881.88,,0.004,50
1881.96,,0.004,50
1882.04,,0.004,50
1882.13,,0.005,50
1882.21,,0.005,50
1882.29,,0.005,50
1882.38,,0.005,50
1882.46,,0.005,50
1882.54,,0.005,50
1882.63,,0.005,50
1882.71,,0.005,50
1882.79,,0.005,50
1882.88,,0.005,50
1882.96,,0.005,50
1883.04,,0.005,50
1883.13,,0.006,50
1883.21,,0.006,50
1883.29,,0.006,50
1883.38,,0.006,50
1883.46,,0.006,50
1883.54,,0.006,50
1883.63,,0.006,50
1883.71,,0.006,50
1883.79,,0.006,50
1883.88,,0.007,50
1883.96,,0.007,50
1884.04,,0.007,50
1884.13,,0.007,50
1884.21,,0.007,50
1884.29,,0.007,50
1884.38,,0.008,50
1884.46,,0.008,50
1884.54,,0.008,50
1884.63,,0.008,50
1884.71,,0.008,50
1884.79,,0.008,50
1884.88,,0.009,50
1884.96,,0.009,50
1885.04,,0.009,50
1885.13,,0.009,50
1885.21,,0.009,50
1885.29,,0.009,50
1885.38,,0.009,50
1885.46,,0.01,50
1885.54,,0.01,50
1885.63,,0.01,50
1885.71,,0.01,50
1885.79,,0.01,50
1885.88,,0.011,50
1885.96,,0.011,50
1886.04,,0.011,50
1886.13,,0.011,50
1886.21,,0.011,50
1886.29,,0.011,50
1886.38,,0.012,50
1886.46,,0.012,50
1886.54,,0.012,50
1886.63,,0.012,50
1886.71,,0.013,50
1886.79,,0.013,50
1886.88,,0.014,50
1886.96,,0.014,50
1887.04,,0.014,50
1887.13,,0.015,50
1887.21,,0.015,50
1887.29,,0.015,50
1887.38,,0.016,50
1887.46,,0.016,50
1887.54,,0.016,50
1887.63,,0.017,50
1887.71,,0.017,50
1887.79,,0.017,50
1887.88,,0.018,50
1887.96,,0.018,50
1888.04,,0.018,50
1888.13,,0.019,50
1888.21,,0.019,50
1888.29,,0.019,50
1888.38,,0.02,50
1888.46,,0.02,50
1888.54,,0.021,50
1888.63,,0.021,50
1888.71,,0.021,50
1888.79,,0.021,50
1888.88,,0.022,50
1888.96,,0.022,50
1889.04,,0.022,50
1889.13,,0.023,50
1889.21,,0.023,50
1889.29,,0.023,50
1889.38,,0.023,50
1889.46,,0.024,50
1889.54,,0.024,50
1889.63,,0.024,50
1889.71,,0.025,50
1889.79,,0.025,50
1889.88,,0.025,50
1889.96,,0.025,50
1890.04,,0.026,50
1890.13,,0.026,50
1890.21,,0.026,50
1890.29,,0.027,50
1890.38,,0.027,50
1890.46,,0.027,50
1890.54,,0.027,50
1890.63,,0.028,50
1890.71,,0.028,50
1890.79,,0.028,50
1890.88,,0.028,50
1890.96,,0.029,50
1891.04,,0.029,50
1891.13,,0.029,50
1891.21,,0.029,50
1891.29,,0.03,50
1891.38,,0.03,50
1891.46,,0.03,50
1891.54,,0.03,50
1891.63,,0.031,50
1891.71,,0.031,50
1891.79,,0.031,50
1891.88,,0.031,50
1891.96,,0.032,50
1892.04,,0.032,50
1892.13,,0.032,50
1892.21,,0.032,50
1892.29,,0.033,50
1892.38,,0.033,50
1892.46,,0.033,50
1892.54,,0.033,50
1892.63,,0.034,50
1892.71,,0.034,50
1892.79,,0.034,50
1892.88,,0.035,50
1892.96,,0.035,50
1893.04,,0.035,50
1893.13,,0.035,50
1893.21,,0.036,50
1893.29,,0.036,50
1893.38,,0.036,50
1893.46,,0.036,50
1893.54,,0.037,50
1893.63,,0.037,50
1893.71,,0.037,50
1893.79,,0.037,50
1893.88,,0.038,50
1893.96,,0.038,50
1894.04,,0.038,50
1894.13,,0.038,50
1894.21,,0.038,50
1894.29,,0.039,50
1894.38,,0.039,50
