year,ignore,temperature,percentile,scenario,color_val
1850.04,0.01,-0.029,50,grey,"rgb(100,100,100)"
1851.04,,-0.028,50,grey,"rgb(100,100,100)"
1852.04,,-0.027,50,grey,"rgb(100,100,100)"
1853.04,,-0.025,50,grey,"rgb(100,100,100)"
1854.04,,-0.024,50,grey,"rgb(100,100,100)"
1855.04,,-0.024,50,grey,"rgb(100,100,100)"
1856.04,,-0.024,50,grey,"rgb(100,100,100)"
1857.04,,-0.024,50,grey,"rgb(100,100,100)"
1858.04,,-0.023,50,grey,"rgb(100,100,100)"
1859.04,,-0.023,50,grey,"rgb(100,100,100)"
1860.04,,-0.023,50,grey,"rgb(100,100,100)"
1861.04,,-0.024,50,grey,"rgb(100,100,100)"
1862.04,,-0.024,50,grey,"rgb(100,100,100)"
1863.04,,-0.025,50,grey,"rgb(100,100,100)"
1864.04,,-0.025,50,grey,"rgb(100,100,100)"
1865.04,,-0.024,50,grey,"rgb(100,100,100)"
1866.04,,-0.024,50,grey,"rgb(100,100,100)"
1867.04,,-0.023,50,grey,"rgb(100,100,100)"
1868.04,,-0.022,50,grey,"rgb(100,100,100)"
1869.04,,-0.02,50,grey,"rgb(100,100,100)"
1870.04,,-0.019,50,grey,"rgb(100,100,100)"
1871.04,,-0.017,50,grey,"rgb(100,100,100)"
1872.04,,-0.015,50,grey,"rgb(100,100,100)"
1873.04,,-0.013,50,grey,"rgb(100,100,100)"
1874.04,,-0.011,50,grey,"rgb(100,100,100)"
1875.04,,-0.008,50,grey,"rgb(100,100,100)"
1876.04,,-0.005,50,grey,"rgb(100,100,100)"
1877.04,,-0.003,50,grey,"rgb(100,100,100)"
1878.04,,-0.002,50,grey,"rgb(100,100,100)"
1879.04,,0,50,grey,"rgb(100,100,100)"
1880.04,,0.002,50,grey,"rgb(100,100,100)"
1881.04,,0.003,50,grey,"rgb(100,100,100)"
1882.04,,0.004,50,grey,"rgb(100,100,100)"
1883.04,,0.005,50,grey,"rgb(100,100,100)"
1884.04,,0.007,50,grey,"rgb(100,100,100)"
1885.04,,0.009,50,grey,"rgb(100,100,100)"
1886.04,,0.011,50,grey,"rgb(100,100,100)"
1887.04,,0.014,50,grey,"rgb(100,100,100)"
1888.04,,0.018,50,grey,"rgb(100,100,100)"
1889.04,,0.022,50,grey,"rgb(100,100,100)"
1890.04,,0.026,50,grey,"rgb(100,100,100)"
1891.04,,0.029,50,grey,"rgb(100,100,100)"
1892.04,,0.032,50,grey,"rgb(100,100,100)"
1893.04,,0.035,50,grey,"rgb(100,100,100)"
1894.04,,0.038,50,grey,"rgb(100,100,100)"
1895.04,,0.04,50,grey,"rgb(100,100,100)"
1896.04,,0.043,50,grey,"rgb(100,100,100)"
1897.04,,0.045,50,grey,"rgb(100,100,100)"
1898.04,,0.048,50,grey,"rgb(100,100,100)"
1899.04,,0.051,50,grey,"rgb(100,100,100)"
