year,hist temps,temperature,percentile,scenario
1850.04,-0.41,-0.03,50,grey
1850.13,0.09,-0.03,50,grey
1850.21,-0.26,-0.03,50,grey
1850.29,-0.24,-0.03,50,grey
1850.38,-0.09,-0.03,50,grey
1850.46,0.08,-0.03,50,grey
1850.54,0.24,-0.03,50,grey
1850.63,0.21,-0.03,50,grey
1850.71,-0.04,-0.03,50,grey
1850.79,-0.21,-0.03,50,grey
1850.88,0,-0.03,50,grey
1850.96,-0.01,-0.03,50,grey
1851.04,0.1,-0.03,50,grey
1851.13,-0.06,-0.03,50,grey
1851.21,-0.27,-0.03,50,grey
1851.29,-0.24,-0.03,50,grey
1851.38,0.08,-0.03,50,grey
1851.46,0.19,-0.03,50,grey
1851.54,0.2,-0.03,50,grey
1851.63,0.22,-0.03,50,grey
1851.71,0.25,-0.03,50,grey
1851.79,0.27,-0.03,50,grey
1851.88,0.26,-0.03,50,grey
1851.96,0.28,-0.03,50,grey
1852.04,-0.07,-0.03,50,grey
1852.13,-0.15,-0.03,50,grey
1852.21,-0.26,-0.03,50,grey
1852.29,-0.3,-0.03,50,grey
1852.38,0.17,-0.03,50,grey
1852.46,0.31,-0.03,50,grey
1852.54,0.34,-0.03,50,grey
1852.63,0.13,-0.03,50,grey
1852.71,0.22,-0.03,50,grey
1852.79,0.14,-0.03,50,grey
1852.88,0.03,-0.03,50,grey
1852.96,0.45,-0.03,50,grey
1853.04,0.1,-0.03,50,grey
1853.13,-0.03,-0.03,50,grey
1853.21,-0.07,-0.03,50,grey
1853.29,-0.07,-0.03,50,grey
1853.38,0.07,-0.03,50,grey
1853.46,0.15,-0.03,50,grey
1853.54,0.34,-0.02,50,grey
1853.63,0.24,-0.02,50,grey
1853.71,-0.04,-0.02,50,grey
1853.79,-0.08,-0.02,50,grey
1853.88,-0.1,-0.02,50,grey
1853.96,-0.12,-0.02,50,grey
1854.04,-0.1,-0.02,50,grey
1854.13,-0.04,-0.02,50,grey
1854.21,0.07,-0.02,50,grey
1854.29,-0.01,-0.02,50,grey
1854.38,0.02,-0.02,50,grey
1854.46,0.03,-0.02,50,grey
1854.54,0.14,-0.02,50,grey
1854.63,0.23,-0.02,50,grey
1854.71,0.25,-0.02,50,grey
1854.79,0.24,-0.02,50,grey
1854.88,-0.01,-0.02,50,grey
1854.96,0.06,-0.02,50,grey
1855.04,0.2,-0.02,50,grey
1855.13,-0.08,-0.02,50,grey
1855.21,-0.02,-0.02,50,grey
1855.29,0.18,-0.02,50,grey
1855.38,0.04,-0.02,50,grey
1855.46,0.17,-0.02,50,grey
1855.54,0.07,-0.02,50,grey
1855.63,0.19,-0.02,50,grey
1855.71,-0.03,-0.02,50,grey
1855.79,0.1,-0.02,50,grey
1855.88,0.08,-0.02,50,grey
1855.96,-0.18,-0.02,50,grey
1856.04,0.18,-0.02,50,grey
1856.13,-0.12,-0.02,50,grey
1856.21,-0.21,-0.02,50,grey
1856.29,-0.06,-0.02,50,grey
1856.38,0.13,-0.02,50,grey
1856.46,0.12,-0.02,50,grey
1856.54,0.05,-0.02,50,grey
1856.63,0.03,-0.02,50,grey
1856.71,-0.17,-0.02,50,grey
1856.79,-0.11,-0.02,50,grey
1856.88,-0.28,-0.02,50,grey
1856.96,-0.12,-0.02,50,grey
1857.04,-0.28,-0.02,50,grey
1857.13,-0.05,-0.02,50,grey
1857.21,-0.15,-0.02,50,grey
1857.29,-0.4,-0.02,50,grey
1857.38,-0.33,-0.02,50,grey
1857.46,0.04,-0.02,50,grey
1857.54,-0.15,-0.02,50,grey
1857.63,0.06,-0.02,50,grey
1857.71,-0.04,-0.02,50,grey
1857.79,-0.13,-0.02,50,grey
1857.88,-0.32,-0.02,50,grey
1857.96,0.01,-0.02,50,grey
1858.04,-0.14,-0.02,50,grey
1858.13,-0.31,-0.02,50,grey
1858.21,-0.21,-0.02,50,grey
1858.29,-0.1,-0.02,50,grey
1858.38,-0.27,-0.02,50,grey
1858.46,-0.19,-0.02,50,grey
1858.54,0.01,-0.02,50,grey
1858.63,0.03,-0.02,50,grey
1858.71,-0.03,-0.02,50,grey
1858.79,0.1,-0.02,50,grey
1858.88,-0.25,-0.02,50,grey
1858.96,-0.02,-0.02,50,grey
1859.04,-0.1,-0.02,50,grey
1859.13,0.01,-0.02,50,grey
1859.21,-0.06,-0.02,50,grey
1859.29,0.17,-0.02,50,grey
1859.38,0.05,-0.02,50,grey
1859.46,0.08,-0.02,50,grey
1859.54,0.01,-0.02,50,grey
1859.63,0.17,-0.02,50,grey
1859.71,-0.29,-0.02,50,grey
1859.79,0.07,-0.02,50,grey
